orb_period,xit_duration,xit_depth,body_r_per_stellar_r_rat,body_r,orb_semimajor,inc,body_temp,body_insolation_flux,stellar_temp,stellar_r,stellar_m,kepler_status
0.453287416,0.4445,0.046729,0.76,0.0059,81.11,729,66.14,5.24,3292,0.148,0.132,0
0.618952198,2.8244,0.391534,4.96,0.0065,36.86,497,14.29,1.603,2661,0.116,0.094,2
0.259819659,0.6513,0.021215,1.22,0.0065,45.08,1559,1410.9,1.376,3939,0.526,0.55,1
0.53482911,0.996,0.024733,0.54,0.0072,84.8,753,75.82,3.99,3229,0.201,0.178,2
0.241842544,0.7257,0.013375,1.16,0.0073,83.08,2689,12357.89,2.542,5834,0.797,0.875,2
0.423854275,1.0198,0.014309,0.58,0.008,81.32,1062,301.79,2.971,3553,0.368,0.383,2
0.306702491,0.9074,0.010797,0.93,0.008,86.24,2318,6868.33,2.643,5310,0.786,0.732,1
0.299697755,0.8473,0.0238,2.03,0.0081,44.72,2246,6005.79,1.356,5180,0.782,0.787,2
0.306937807,0.5925,0.010129,0.82,0.0081,89.92,2142,5019.53,4.04,5088,0.741,0.762,2
0.293630085,2.3857,0.286276,26.35,0.0084,18.91,2503,9283.34,1.302,5665,0.843,0.928,2
0.93374894,4.637,0.014217,0.18,0.0085,73.02,433,8.36,1.564,2661,0.116,0.094,2
0.364860478,1.4736,0.009721,0.68,0.0086,82.14,1993,3703.08,1.9491,5220,0.642,0.63,2
0.323021692,2.3442,0.43711,46.4,0.0087,45.26,2545,9913.7,1.579,5458,0.972,0.828,2
0.341842017,1.1554,0.021058,1.72,0.0089,40.98,2023,3991.16,1.268,5016,0.747,0.817,0
0.328686504,0.8592,0.012036,1.11,0.009,85.47,2324,6891.11,2.944,5430,0.847,0.896,2
0.379412331,1.561,0.021795,1.59,0.009,82.85,1643,1724.34,1.95,4331,0.666,0.675,2
0.9951412,5.588,0.018188,0.22,0.0091,16.81,509,15.69,1.042,3325,0.109,0.101,1
0.312941621,2.0646,0.447207,58.02,0.0092,42.97,3151,23300.36,1.615,6286,1.188,1.051,2
0.352515897,1.0525,0.01191,1,0.0092,84.23,2194,5534.14,2.58,5465,0.766,0.857,1
0.755101141,3.371,0.008231,0.19,0.0092,71.5,680,50.92,1.648,3256,0.207,0.184,2
